,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,wf8_avg_e2e_latency,wf8_violation_rate,wf9_avg_e2e_latency,wf9_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,4.440892098500626e-16,0.0017747062273582956,0.0008034379909465095,0.0,4.10979040710302e-06,5.80563967061643e-16,8.881784197001252e-16,4.3435570207475246e-16,0.02096420967976509,0.006216891221844009,0.007576610985444043,0.010126651090794877,0.009110488997415622,5.552299429940983e-16,6.661338147750939e-16,0.0,8.881784197001252e-16,0.0,0.0,1.7968096258309173e-05,1.791495168835475e-05,0.0
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,0.0,0.0,0.00019214538850338114,0.00036438761468748915,0.0,0.0,0.0,0.0,0.0,0.0,0.08032384626587387,0.046151314073217264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s18_avg_threads,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.0007739981755747749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,2.7761497149704913e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s19_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s21_avg_threads,0.0,4.440892098500626e-16,1.314662390073078e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,4.3435570207475246e-16,6.661338147750939e-16,3.3176666322899763e-16,0.0,0.0,0.0,0.0,0.06390450059423136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s22_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s24_avg_threads,0.0,0.0,0.0,0.0,3.171123954506382e-16,2.220446049250313e-16,0.0,0.0,1.4478523402491749e-16,2.220446049250313e-16,0.0,0.0,5.131803107780858e-16,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0061392244649074645,0.0026411289396371003,5.45980447270131e-16
s25_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s26_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s27_avg_threads,0.0,0.0,0.018669470587613937,0.03499953315422122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s28_avg_threads,0.0,0.0,0.0,0.0076490287331805185,0.0074431143933682145,0.005141053872474988,0.0,0.0,2.8957046804983497e-16,2.220446049250313e-16,0.0,0.0,3.4212020718539057e-16,4.440892098500626e-16,0.0035983868807366523,0.0006217505672398982,0.0,2.220446049250313e-16,0.0,0.0,4.1076631147591714e-15,0.0,0.01747119444890337
s29_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
